"","RNA","ATAC"
"333","Retnlg",NA
"334","Smox",NA
"335","Ankrd9",NA
"336","Bcas3",NA
"337","Gm37368",NA
"338","Tnfrsf14",NA
"339","Slc15a2",NA
"340","Ngp",NA
"341","Mppe1",NA
"342","Rb1cc1",NA
"343","St3gal6",NA
"344","Hmox1",NA
"345","Slc16a6",NA
"346","Garre1",NA
"347","Kdm6a",NA
"348","Prg2",NA
"349","Rbm5",NA
"350","Med12",NA
"351","Uros",NA
"352","Snx15",NA
"353","Ap4b1",NA
"354","Prpf18",NA
"355","mt-Atp8",NA
"356","Aff1",NA
"357","Tpm1",NA
"358","Nbr1",NA
"359","Hace1",NA
"360","Rbm4",NA
"361","Pcx",NA
"362","Cybb",NA
"363","Gm29216",NA
"364","Gripap1",NA
"365","Psme3",NA
"366","Slfn14",NA
"367","Abcb4",NA
"368","Btg2",NA
"369","Man1a",NA
"370","Odc1",NA
"371","Btrc",NA
"372","Mpp1",NA
"373","Trim59",NA
"374","Lpcat1",NA
"375","Narf",NA
"376","Slc48a1",NA
"377","Pld3",NA
"378","Gm28437",NA
"379","Stk17b",NA
"380","Atp8a1",NA
"381","Cit",NA
"382","Bsg",NA
"383","Kctd20",NA
"384","Cmpk2",NA
"385","Swt1",NA
"386","Mxi1",NA
"387","H2-T23",NA
"388","Smap1",NA
"389","Cd5l",NA
"390","Ypel3",NA
"391","Gm11427",NA
"392","Mettl27",NA
"393","1810058I24Rik",NA
"394","Ezh1",NA
"395","Slc7a5",NA
"396","Mfsd2b",NA
"397","Slc38a9",NA
"398","Fbxo7",NA
"399","Slc1a5",NA
"400","Ube2b",NA
"401","Itgam",NA
"402","A430110L20Rik",NA
"403","Nsmaf",NA
"404","Prdx2",NA
"405","Tor1aip2",NA
"406","Crebbp",NA
"407","Slc4a1",NA
"408","Tmem131",NA
"409","Dpf3",NA
"410","Fbxl3",NA
"411","Tmc8",NA
"412","Tlcd1",NA
"413","Pabpc1",NA
"414","Smg6",NA
"415","Fn1",NA
"416","Slc25a38",NA
"417","Nudt4",NA
"418","Ptdss2",NA
"419","Med13",NA
"420","Zfp207",NA
"421","Ccl6",NA
"422","Rbm33",NA
"423","Wipi2",NA
"424","Mier1",NA
"425","Wdr44",NA
"426","Ces2g",NA
"427","4632427E13Rik",NA
"428","Spire1",NA
"429","Tal1",NA
"430","Pnpla8",NA
"431","Slc43a3",NA
"432","Galnt10",NA
"433","Ifnar1",NA
"434","Ninl",NA
"435","Mrm1",NA
"436","Ghitm",NA
"437","Slc44a1",NA
"438","Ank",NA
"439","Tax1bp1",NA
"440","Zfp874b",NA
"441","Gm49342",NA
"442","Rc3h1",NA
"443","Osbpl8",NA
"444","Cd59a",NA
"445","Igkc",NA
"446","Rflnb",NA
"447","Zfand5",NA
"448","Cdkl1",NA
"449","Ighg2b",NA
"450","Mpp2",NA
"451","Slc6a20a",NA
"452","Ifrd2",NA
"453","Plaat3",NA
"454","Mtfr1",NA
"455","Xdh",NA
"456","Ift80",NA
"457","Endod1",NA
"458","Ep400",NA
"459","Atf7ip",NA
"460","Gpx1",NA
"461","Glrx5",NA
"462","Fam117a",NA
"463","Dmxl1",NA
"464","Zfp874a",NA
"465","Iba57",NA
"466","Mtcp1",NA
"467","Phf8",NA
"468","Hbp1",NA
"469","mt-Co1",NA
"470","Atxn7l1",NA
"471","Itgb2",NA
"472","St3gal1",NA
"473","Ift140",NA
"474","Pim1",NA
"475","Cep128",NA
"476","Pcmtd2",NA
"477","Fnip2",NA
"478","Tom1l1",NA
"479","Rnasel",NA
"480","Ublcp1",NA
"481","Irf9",NA
"482","Cep164",NA
"483","Mapk8ip3",NA
"484","Vcpip1",NA
"485","Gm20708",NA
"486","Becn1",NA
"487","Gm23119",NA
"488","Rnf213",NA
"489","Gm28661",NA
"490","Dstn",NA
"491","Mical3",NA
"492","Ints6l",NA
"493","Ap2a2",NA
"494","Slc9a8",NA
"495","Slc30a1",NA
"496","Gm12258",NA
"497","Aplp2",NA
"498","Mafk",NA
"499","Herc6",NA
"500","Erlec1",NA
"501","Wapl",NA
"502","Auh",NA
"503","Nucb1",NA
"504","Ptp4a3",NA
"505","Rnf167",NA
"506","Fam53b",NA
"507","Nxpe4",NA
"508","Ube2f",NA
"509","Cyth3",NA
"510","Slc3a2",NA
"511","Il1r1",NA
"512","Pafah1b1",NA
"513","Atg14",NA
"514","Mpc2",NA
"515","Gm38378",NA
"516","Gm37513",NA
"517","Optn",NA
"518","Slfn2",NA
"519","Slc38a5",NA
"520","Gm16938",NA
"521","Cecr2",NA
"522","Ccdc77",NA
"523","Ehbp1l1",NA
"524","Klhl7",NA
"525","Slfn4",NA
"526","Sqstm1",NA
"527","Lmo2",NA
"528","Ythdc1",NA
"529","Dleu2",NA
"530","Kdm5c",NA
"531","Apeh",NA
"532","Mmp9",NA
"533","Sgms2",NA
"534","Cd177",NA
"535","Tacc1",NA
"536","Igsf6",NA
"537","Gch1",NA
"538","Trim26",NA
"539","Ccnl2",NA
"540","Plcl2",NA
"541","Gm15774",NA
"542","Septin1",NA
"543","mt-Co3",NA
"544","Tbcd",NA
"545","Noct",NA
"546","Pabpc4",NA
"547","Ubr2",NA
"548","Gm38115",NA
"549","Pacsin2",NA
"550","Tbxas1",NA
"551","Nrip3",NA
"552","Hnrnpm",NA
"553","Ell2",NA
"554","Kcnn4",NA
"555","Wwp2",NA
"556","Lgmn",NA
"557","H1f2",NA
"558","Acbd5",NA
"559","H1f4",NA
"560","Iqsec1",NA
"561","6430548M08Rik",NA
"562","Stx5a",NA
"563","Ep300",NA
"564","Tmbim6",NA
"565","Crebrf",NA
"566","Ear2",NA
"567","Mettl7a1",NA
"568","Sec61g",NA
"569","Atg2a",NA
"570","Ubr4",NA
"571","Daam1",NA
"572","Sema4b",NA
"573","Cnppd1",NA
"574","Dnajb6",NA
"575","Mospd1",NA
"576","Fbxw2",NA
"577","Tmem65",NA
"578","Zfp526",NA
"579","Chp1",NA
"580","Cenpe",NA
"581","Oasl2",NA
"582","Hspbap1",NA
"583","Sesn1",NA
"584","mt-Cytb",NA
"585","Gm49339",NA
"586","Anxa1",NA
"587","Rictor",NA
"588","Epx",NA
"589","Tbc1d2b",NA
"590","Myh10",NA
"591","Arhgap23",NA
"592","Gdi1",NA
"593","Fth1",NA
"594","Usp46",NA
"595","Dnttip1",NA
"596","Sidt2",NA
"597","Atxn2",NA
"598","Mir22hg",NA
"599","Retreg3",NA
"600","Hipk2",NA
"601","Pfkfb2",NA
"602","Nipal3",NA
"603","Nprl3",NA
"604","Ccdc92b",NA
"605","Ncf1",NA
"606","AI662270",NA
"607","Ackr1",NA
"608","Pkd2l2",NA
"609","Dnase2a",NA
"610","Sik2",NA
"611","Acmsd",NA
"612","Zfp871",NA
"613","Top1",NA
"614","Emilin2",NA
"615","Lrrc39",NA
"616","Ccpg1",NA
"617","Axl",NA
"618","Cmtr1",NA
"619","Zdhhc14",NA
"620","A930006K02Rik",NA
"621","Serinc5",NA
"622","Gpbp1l1",NA
"623","Ctss",NA
"624","Gm25788",NA
"625","Gm33280",NA
"626","Trim23",NA
"627","Ccrl2",NA
"628","Abhd5",NA
"629","Psmf1",NA
"630","1810013L24Rik",NA
"631","Aoc2",NA
"632","Syne1",NA
"633","Aldh1a1",NA
"634","Galnt1",NA
"635","Acp1",NA
"636","Fahd1",NA
"637","Gabarapl2",NA
"638","Glul",NA
"639","Foxo4",NA
"640","Fgr",NA
"641","Usp33",NA
"642","Sh3glb1",NA
"643","Cast",NA
"644","Plpp1",NA
"645","Kin",NA
"646","H1f3",NA
"647","Rit1",NA
"648","Sorl1",NA
"649","Cltc",NA
"650","Cenpf",NA
"651","Abcb6",NA
"652","Prkcb",NA
"653","Fbrs",NA
"654","Znfx1",NA
"655","Ahnak",NA
"656","Gtf2e2",NA
"657","Tpra1",NA
"658","Gvin-ps4",NA
"659","Camsap2",NA
"660","Dusp8",NA
"661","Letm2",NA
"662","Trmo",NA
"663","Sgms1",NA
"664","Rbm14",NA
"665","BC005537",NA
"666","Ext1",NA
"667","Sh3bp5l",NA
"668","Slc40a1",NA
"669","Med13l",NA
"670","Hp",NA
"671","4930404N11Rik",NA
"672","Rngtt",NA
"673","Wdr81",NA
"674","Adar",NA
"675","Arfgap3",NA
"676","Prom1",NA
"677","Dnajb12",NA
"678","Pcyt1b",NA
"679","Blvrb",NA
"680","Fer1l6",NA
"681","Rrm2",NA
"682","Trim12c",NA
"683","Rec114",NA
"684","Golph3l",NA
"685","Wfdc21",NA
"686","Xk",NA
"687","Rmnd5a",NA
"688","Oip5",NA
"689","Samd4",NA
"690","Ccr1",NA
"691","Fcna",NA
"692","Parp14",NA
"693","Ubr3",NA
"694","Tmem86b",NA
"695","Pcyt1a",NA
"696","Gm37206",NA
"697","Itgb2l",NA
"698","Slc14a1",NA
"699","Ampd3",NA
"700","Slc20a1",NA
"701","Dcaf10",NA
"702","Arih2",NA
"703","Bach1",NA
"704","Asap2",NA
"705","Pirb",NA
"706","Plbd1",NA
"707","Crat",NA
"708","Nrd1",NA
"709","Rnpc3",NA
"710","Rock1",NA
"711","Iqcd",NA
"712","Fgfr1op2",NA
"713","Rab5b",NA
"714","E2f4",NA
"715","Clec5a",NA
"716","Cd82",NA
"717","Furin",NA
"718","Atl1",NA
"719","Usp19",NA
"720","Kbtbd2",NA
"721","Herc2",NA
"722","Asb6",NA
"723","Mocs1",NA
"724","Csnk1d",NA
"725","Itga4",NA
"726","Ccdc189",NA
"727","Chst10",NA
"728","Ppm1l",NA
"729","H2aw",NA
"730","Tmem33",NA
"731","Tbk1",NA
"732","Ftl1",NA
"733","Vps13d",NA
"734","Fcgr3",NA
"735","Ear1",NA
"736","Oga",NA
"737","Rab8b",NA
"738","Zbtb44",NA
"739","Stxbp4",NA
"740","Mboat2",NA
"741","Ddhd1",NA
"742","Fgd6",NA
"743","Taldo1",NA
"744","Snord17",NA
"745","4930438A08Rik",NA
"746","Nptn",NA
"747","Safb2",NA
"748","Tmco6",NA
"749","Gid8",NA
"750","Crebl2",NA
"751","Mark3",NA
"752","Sertad3",NA
"753","Fbxo3",NA
"754","Helz2",NA
"755","mt-Rnr2",NA
"756","F930017D23Rik",NA
"757","Ctsd",NA
"758","Ubn2",NA
"759","Zmynd8",NA
"760","Mcpt8",NA
"761","Cep350",NA
"762","Ggnbp2",NA
"763","D330041H03Rik",NA
"764","Slc12a6",NA
"765","Kdm3a",NA
"766","Eps8l1",NA
"767","Ubxn7",NA
"768","Pip5k1b",NA
"769","Lbr",NA
"770","Nusap1",NA
"771","Dhx40",NA
"772","Cir1",NA
"773","Dck",NA
"774","Pim2",NA
"775","Kctd14",NA
"776","Nrip1",NA
"777","Gclc",NA
"778","Stk11",NA
"779","Baz2a",NA
"780","Nup133",NA
"781","Ubb",NA
"782","Adpgk",NA
"783","Fam241a",NA
"784","Pink1",NA
