"","RNA","ATAC"
"2134","Dnajb13",NA
"2135","Bcl2a1d",NA
"2136","Gm37171",NA
"2137","Atp7a",NA
"2138","Ankrd7",NA
"2139","AA465934",NA
"2140","Erc1",NA
"2141","Gm14735",NA
"2142","Wasf2",NA
"2143","Rell1",NA
"2144","Ncapg",NA
"2145","Mgam",NA
"2146","Gm13803",NA
"2147","G0s2",NA
"2148","Bloodlinc",NA
"2149","Gm25636",NA
"2150","Zfyve27",NA
"2151","Gm8941",NA
"2152","Ndufb9",NA
"2153","Ogfod2",NA
"2154","Plxnd1",NA
"2155","Chd9",NA
"2156","Sp2",NA
"2157","Lilra6",NA
"2158","Setd1b",NA
"2159","Igkv6-17",NA
"2160","Pef1",NA
"2161","Ubb-ps",NA
"2162","Galnt3",NA
"2163","Dek",NA
"2164","Cd68",NA
"2165","Zgrf1",NA
"2166","Abca9",NA
"2167","Plau",NA
"2168","Natd1",NA
"2169","Gm10715",NA
"2170","Gpd1",NA
"2171","Nipa2",NA
"2172","Ighv8-8",NA
"2173","Fbxo8",NA
"2174","Upf1",NA
"2175","4930581F22Rik",NA
"2176","Bmf",NA
"2177","Ltb4r1",NA
"2178","Ccdc82",NA
"2179","Gm37553",NA
"2180","Icosl",NA
"2181","Chrm3",NA
"2182","Cd52",NA
"2183","Klf11",NA
"2184","Gfap",NA
"2185","Tapbp",NA
"2186","Vcl",NA
"2187","Gm38368",NA
"2188","Gm10110",NA
"2189","Gm16867",NA
"2190","2310010J17Rik",NA
"2191","Rp2",NA
"2192","Grk1",NA
"2193","Gm14862",NA
"2194","Dnaja1-ps",NA
"2195","Nek8",NA
"2196","Taok1",NA
"2197","Exoc2",NA
"2198","Bank1",NA
"2199","Nek1",NA
"2200","Gpat3",NA
"2201","Igkv5-43",NA
"2202","Col1a2",NA
"2203","Gm37915",NA
"2204","Brf1",NA
"2205","Cdc42ep3",NA
"2206","Mapk13",NA
"2207","Aff2",NA
"2208","Myo18b",NA
"2209","Gpr35",NA
"2210","Tmem236",NA
"2211","Srsf10",NA
"2212","Drp2",NA
"2213","A330094K24Rik",NA
"2214","Dnajc8",NA
"2215","Btg3",NA
"2216","Gm6829",NA
"2217","Tjap1",NA
"2218","Gm37618",NA
"2219","Acss2",NA
"2220","Ppp6r2",NA
"2221","Uqcrh",NA
"2222","Map3k9",NA
"2223","Snora69",NA
"2224","Kbtbd7",NA
"2225","Wdr33",NA
"2226","Il1a",NA
"2227","Peds1",NA
"2228","Ccdc148",NA
"2229","Fars2",NA
"2230","Actn4",NA
"2231","Plekhg3",NA
"2232","A930004J17Rik",NA
"2233","Sbf2",NA
"2234","Gm37376",NA
"2235","Ankrd61",NA
"2236","Ano6",NA
"2237","Snord22",NA
"2238","Hpgds",NA
"2239","Banp",NA
"2240","Gm38372",NA
"2241","Camsap1",NA
"2242","Tspo",NA
"2243","Ccl22",NA
"2244","Mrgpra2b",NA
"2245","Nktr",NA
"2246","Gm21985",NA
"2247","Zbtb7b",NA
"2248","Gapt",NA
"2249","Prdm2",NA
"2250","Gfra2",NA
"2251","Dram1",NA
"2252","Pappa",NA
"2253","Dgkh",NA
"2254","Cebpb",NA
"2255","Olfml3",NA
"2256","Zfp866",NA
"2257","Ip6k2",NA
"2258","Gm37416",NA
"2259","Sgo2a",NA
"2260","Robo2",NA
"2261","Abi1",NA
"2262","Gm37522",NA
"2263","Odf2",NA
"2264","Sulf2",NA
"2265","Dnajb3",NA
"2266","Flna",NA
"2267","Gm6264",NA
"2268","Slc13a1",NA
"2269","Cd33",NA
"2270","1700034P13Rik",NA
"2271","Gm12310",NA
"2272","Trim24",NA
"2273","Itga1",NA
"2274","Spic",NA
"2275","Gm7694",NA
"2276","Nars",NA
"2277","Tdgf1-ps2",NA
"2278","Loxl2",NA
"2279","Gm37963",NA
"2280","Ikzf3",NA
"2281","0610043K17Rik",NA
"2282","Skida1",NA
"2283","Gm25835",NA
"2284","Apaf1",NA
"2285","Rab1a",NA
"2286","B4galt3",NA
"2287","Itpripl2",NA
"2288","Arsb",NA
"2289","Gm21451",NA
"2290","Pitrm1",NA
"2291","Spata2",NA
"2292","Atxn3",NA
"2293","H2-Eb1",NA
"2294","Prdm10",NA
"2295","AA986860",NA
"2296","Dohh",NA
"2297","6530409C15Rik",NA
"2298","Rab11a",NA
"2299","Fam13b",NA
"2300","Hus1b",NA
"2301","Mthfd2",NA
"2302","Phactr4",NA
"2303","Igkv5-39",NA
"2304","Sprr2a2",NA
"2305","Ighv1-53",NA
"2306","H2ax",NA
"2307","Snora16a",NA
"2308","Dpp10",NA
"2309","Gm16072",NA
"2310","3110067C02Rik",NA
"2311","H1f1",NA
"2312","Cpd",NA
"2313","Kif18a",NA
"2314","Usp9x",NA
"2315","4930431P03Rik",NA
"2316","Gpr34",NA
"2317","Il18r1",NA
"2318","Kif23",NA
"2319","Gm17193",NA
"2320","Gpr137c",NA
"2321","Gpr107",NA
"2322","Kcnk6",NA
"2323","Gm37953",NA
"2324","Snora3",NA
"2325","Rin2",NA
"2326","Wasl",NA
"2327","Gpatch11",NA
"2328","Gm17535",NA
"2329","Snord67",NA
"2330","Gm37383",NA
"2331","Zfp750",NA
"2332","Mybl1",NA
"2333","Cd300ld",NA
"2334","Gm6055",NA
"2335","Cd101",NA
"2336","Lbp",NA
"2337","Gm38140",NA
"2338","Ptpro",NA
"2339","Gm25517",NA
"2340","Gmnn",NA
"2341","Zfyve26",NA
"2342","AI467606",NA
"2343","Chst13",NA
"2344","Klrc2",NA
"2345","Gm37357",NA
"2346","Gm21992",NA
"2347","Sirpb1b",NA
"2348","Snora24",NA
"2349","Ptpn20",NA
"2350","H2-D1",NA
"2351","Snora41",NA
"2352","Tmem106a",NA
"2353","Kif11",NA
"2354","Cyth4",NA
"2355","Dock5",NA
"2356","Ahi1",NA
"2357","Snora75",NA
"2358","Uhrf2",NA
"2359","Snora30",NA
"2360","Gtf2a1",NA
"2361","Sort1",NA
"2362","Gm10912",NA
"2363","Mta3",NA
"2364","Sfxn4",NA
"2365","Brox",NA
"2366","Snhg12",NA
"2367","Gfi1b",NA
"2368","Evi2a",NA
"2369","Slc46a3",NA
"2370","Gm37123",NA
"2371","Spib",NA
"2372","Aph1b",NA
"2373","Ms4a8a",NA
"2374","Kat2b",NA
"2375","Lyve1",NA
"2376","Setd3",NA
"2377","Ero1a",NA
"2378","Dnajb6-ps",NA
"2379","Serpinb2",NA
"2380","Alg9",NA
"2381","Gm8194",NA
"2382","Rad52",NA
"2383","Gm7496",NA
"2384","Col5a1",NA
"2385","Map4k2",NA
"2386","Kif24",NA
"2387","Gm25791",NA
"2388","Tcea1",NA
"2389","Pcyox1",NA
"2390","Mospd2",NA
"2391","Plekhm3",NA
"2392","Zfp821",NA
"2393","Pik3cb",NA
"2394","Pcmt1",NA
"2395","Plcb1",NA
"2396","Tcn2",NA
"2397","Ppp2r5a",NA
"2398","Igf2r",NA
"2399","Ttyh1",NA
"2400","Med21",NA
"2401","Svip",NA
"2402","Gm37985",NA
"2403","Mrc1",NA
"2404","Cog2",NA
"2405","Clec4b2",NA
"2406","6430590A07Rik",NA
"2407","Adamts13",NA
"2408","Marcks",NA
"2409","Cep152",NA
"2410","Alas1",NA
"2411","Artn",NA
"2412","Mbd5",NA
"2413","Glg1",NA
"2414","Acot8",NA
"2415","Snord15a",NA
"2416","Stau1",NA
"2417","Gps2",NA
"2418","Spice1",NA
"2419","Olfm1",NA
"2420","Selenbp1",NA
"2421","BC025920",NA
"2422","Rab10os",NA
"2423","Atg13",NA
"2424","Foxm1",NA
"2425","Tmem9",NA
"2426","Zzef1",NA
"2427","Scrg1",NA
"2428","Snora73b",NA
"2429","Anxa5",NA
"2430","Hcfc1",NA
"2431","Crisp2",NA
"2432","Odad3",NA
"2433","Asf1b",NA
"2434","Hnrnpul1",NA
"2435","Rnf43",NA
"2436","Gm16534",NA
"2437","Plekhg1",NA
"2438","Dtx3l",NA
"2439","Rmdn3",NA
"2440","Tdrd7",NA
"2441","Zfp869",NA
"2442","Gm15816",NA
"2443","Sirpb1a",NA
"2444","Gm10300",NA
"2445","Gm21781",NA
"2446","Sult1a1",NA
"2447","Fez2",NA
"2448","Rragd",NA
"2449","Ighv1-81",NA
"2450","Tfe3",NA
"2451","Casc3",NA
"2452","Abcc4",NA
"2453","Cenpc1",NA
"2454","Dnajc11",NA
"2455","Hectd3",NA
"2456","Ncf2",NA
"2457","Tmf1",NA
"2458","Rnf40",NA
"2459","Treml4",NA
"2460","Cib2",NA
"2461","Naip1",NA
"2462","Cd63",NA
"2463","Ltbp2",NA
"2464","Mmp13",NA
"2465","Zbtb7a",NA
"2466","Crem",NA
"2467","Gm13899",NA
"2468","Ube2e3",NA
"2469","Nuf2",NA
"2470","mt-Co2",NA
"2471","Mark2",NA
"2472","Gm10785",NA
"2473","Ighv1-54",NA
"2474","Slx4",NA
"2475","Arhgap4",NA
"2476","Gm37204",NA
"2477","Zfp276",NA
"2478","Gm16349",NA
"2479","Nr1h3",NA
"2480","Trem2",NA
"2481","Golga3",NA
"2482","St6gal1",NA
"2483","Myef2",NA
"2484","Tmem51",NA
"2485","Nr1h2",NA
"2486","Prokr1",NA
"2487","R3hdm1",NA
"2488","Slx4ip",NA
"2489","Gm2822",NA
"2490","Bet1l",NA
"2491","Tmem50b",NA
"2492","Fcgr4",NA
"2493","Pbx3",NA
"2494","Gm22519",NA
"2495","Cfh",NA
"2496","Zfp953",NA
"2497","Lancl2",NA
"2498","Myadm",NA
"2499","Gm38329",NA
"2500","C3ar1",NA
"2501","4933440M02Rik",NA
"2502","Slc35e1",NA
"2503","Gm28379",NA
"2504","Gnai2",NA
"2505","Zswim4",NA
"2506","Alms1-ps2",NA
"2507","Kif13b",NA
"2508","C5ar1",NA
"2509","Panct2",NA
"2510","Tshr",NA
"2511","Gm37906",NA
"2512","Pcgf5",NA
"2513","Golph3",NA
"2514","Mysm1",NA
"2515","Racgap1",NA
"2516","Olfr420",NA
"2517","Cpne3",NA
"2518","Htra2",NA
"2519","E230016K23Rik",NA
"2520","Gm8325",NA
"2521","Ssx2ip",NA
"2522","Ipcef1",NA
"2523","Pira1",NA
"2524","Pax8",NA
"2525","Orm1",NA
"2526","Sipa1l2",NA
"2527","Bco2",NA
"2528","Wdtc1",NA
"2529","Akna",NA
"2530","Snord118",NA
"2531","Csf1r",NA
"2532","Gm26165",NA
"2533","Samd7",NA
"2534","Gm27010",NA
"2535","Ap2m1",NA
"2536","R3hcc1l",NA
"2537","Fam193b",NA
"2538","Nyap1",NA
"2539","Gpr84",NA
"2540","Fbxo39",NA
"2541","Hnrnph2",NA
"2542","Mapk4",NA
"2543","Trappc9",NA
"2544","Gm26971",NA
"2545","Fam76b",NA
"2546","Ifi203-ps",NA
"2547","Fmn1",NA
"2548","Gm12940",NA
"2549","1700123O20Rik",NA
"2550","Gm28539",NA
"2551","Fam161a",NA
"2552","Rps6ka2",NA
"2553","Gpc4",NA
"2554","Glcci1",NA
"2555","Ccsap",NA
"2556","Alpl",NA
"2557","Mbd2",NA
"2558","Tnfrsf4",NA
"2559","Rnase4",NA
"2560","Usp10",NA
"2561","Gpr182",NA
"2562","Fyco1",NA
"2563","Dctn2",NA
"2564","H2bc12",NA
"2565","Nrg1",NA
"2566","Heca",NA
"2567","Mcl1",NA
"2568","Sptlc2",NA
"2569","B4galnt3",NA
"2570","Gm17233",NA
"2571","Mogat2",NA
"2572","AK157302",NA
"2573","Kif22",NA
"2574","H2ac4",NA
"2575","Ankrd12",NA
"2576","U2af1l4",NA
"2577","Agtr1a",NA
"2578","Ubd",NA
"2579","Gm26003",NA
"2580","AW011738",NA
"2581","Vasp",NA
"2582","Lair1",NA
"2583","Fndc11",NA
"2584","Ccnt1",NA
"2585","Apex2",NA
"2586","Adck5",NA
"2587","Gata1",NA
"2588","Ankrd22",NA
"2589","Iws1",NA
"2590","Tpt1",NA
"2591","Cib1",NA
"2592","Rnf19b",NA
"2593","Atp6v0c",NA
"2594","Rprd1b",NA
"2595","Parp11",NA
"2596","Rabgap1l",NA
"2597","Atp6v0b",NA
"2598","Ifngr1",NA
"2599","Stab1",NA
"2600","Gm16793",NA
"2601","D030055H07Rik",NA
"2602","Cask",NA
"2603","Psmd4",NA
"2604","Tbx15",NA
"2605","Scoc",NA
"2606","Ccr7",NA
"2607","Sla",NA
"2608","Pcyt2",NA
"2609","Tial1",NA
"2610","Igkv5-48",NA
"2611","Rnf144b",NA
"2612","Amer2",NA
"2613","Eme2",NA
"2614","Ttc21a",NA
"2615","Eif4enif1",NA
"2616","1700020L24Rik",NA
"2617","Gm4841",NA
"2618","Gm14453",NA
"2619","Plin5",NA
"2620","Igkv12-44",NA
"2621","Grik5",NA
"2622","Cd209f",NA
"2623","Pgd",NA
"2624","8030462N17Rik",NA
"2625","F730016J06Rik",NA
"2626","Tbx2",NA
"2627","Ralb",NA
"2628","Lcp1",NA
"2629","4732440D04Rik",NA
"2630","Ccdc174",NA
"2631","Thsd7a",NA
"2632","Ezr",NA
"2633","Gm37120",NA
"2634","Gabarap",NA
"2635","Rpe",NA
"2636","Commd8",NA
"2637","Igkv4-57",NA
"2638","Fry",NA
"2639","Katnal1",NA
"2640","Trim2",NA
"2641","Irf4",NA
"2642","Stx11",NA
"2643","Snora7a",NA
"2644","Syap1",NA
"2645","Gm26981",NA
"2646","Cyp27a1",NA
"2647","Atxn2l",NA
"2648","Slc8b1",NA
"2649","Serp1",NA
"2650","D030056L22Rik",NA
"2651","Ighv1-26",NA
"2652","Idh1",NA
"2653","Rundc3a",NA
"2654","Icam4",NA
"2655","Syne2",NA
"2656","AA467197",NA
"2657","Prex1",NA
"2658","Ttll3",NA
"2659","Clcn7",NA
"2660","Ahctf1",NA
"2661","Gm38374",NA
"2662","Guca1b",NA
"2663","Ncr1",NA
"2664","Ect2",NA
"2665","Kmt2d",NA
"2666","Tram1",NA
"2667","Ubl7",NA
"2668","Gm6088",NA
"2669","Fgfr2",NA
"2670","Cdh7",NA
"2671","Slc16a13",NA
"2672","Ap2m1-ps",NA
"2673","Rexo1",NA
"2674","Arhgef10l",NA
"2675","Cdhr4",NA
"2676","Anp32b",NA
"2677","Pnma1",NA
"2678","Stk38",NA
"2679","Map2k2",NA
"2680","Sytl2",NA
"2681","Myl9",NA
"2682","Wrn",NA
"2683","Il1b",NA
"2684","Adam19",NA
"2685","Kng2",NA
"2686","Chil5",NA
"2687","Cdkl4",NA
"2688","Gm36955",NA
"2689","Cenpl",NA
"2690","Gm20683",NA
"2691","Fbln5",NA
"2692","Ly6g",NA
"2693","Arpc2",NA
"2694","1810008I18Rik",NA
"2695","Cln5",NA
"2696","Taco1os",NA
"2697","Rbbp4",NA
"2698","Gm23202",NA
"2699","Cenpu",NA
"2700","3110056K07Rik",NA
"2701","Rcl1",NA
"2702","Supt7l",NA
"2703","Osbpl9",NA
"2704","Fcgr2b",NA
"2705","Ppp1r12a",NA
"2706","Ubxn2a",NA
"2707","Ifit3b",NA
"2708","A730089K16Rik",NA
"2709","Svil",NA
"2710","E4f1",NA
"2711","Snora21",NA
"2712","Gm22042",NA
"2713","Gm26175",NA
"2714","Zfp641",NA
"2715","Elf2",NA
"2716","Col20a1",NA
"2717","Gm13373",NA
"2718","Ankrd33b",NA
"2719","4930512B01Rik",NA
"2720","Ube2d2b",NA
"2721","Hspa4l",NA
"2722","Bard1",NA
"2723","Ccdc28a",NA
"2724","Pias4",NA
"2725","Gm28857",NA
"2726","Map1b",NA
"2727","Ccnc",NA
"2728","Srrm1",NA
"2729","H2bc7",NA
"2730","Rassf4",NA
"2731","B230317F23Rik",NA
"2732","Cdk5rap2",NA
"2733","Atg2b",NA
"2734","Sparc",NA
"2735","Amn1",NA
"2736","Fam8a1",NA
"2737","1700028E10Rik",NA
"2738","Man1c1",NA
"2739","Stag2",NA
"2740","Irak1",NA
"2741","Themis2",NA
"2742","9530052C20Rik",NA
"2743","2610027K06Rik",NA
"2744","Dram2",NA
"2745","Actr3",NA
"2746","Rps6kb2",NA
"2747","Flot2",NA
"2748","Lyn",NA
"2749","Eldr",NA
"2750","Ckap2",NA
"2751","Gm26789",NA
"2752","Sav1",NA
"2753","Fcer1a",NA
"2754","Rpain",NA
"2755","Atf1",NA
"2756","Hexb",NA
"2757","Dhx16",NA
"2758","Hexim2",NA
"2759","Cp",NA
"2760","Slc27a4",NA
"2761","Tmem30a",NA
"2762","Gm23297",NA
"2763","Fbxo38",NA
"2764","Prdm1",NA
"2765","Gm20406",NA
"2766","Ckb",NA
"2767","Gm5526",NA
"2768","4930550C14Rik",NA
"2769","Grk5",NA
"2770","Aspm",NA
"2771","Msh5",NA
"2772","Ahcyl2",NA
"2773","Trub2",NA
"2774","Gm26130",NA
"2775","Chmp5",NA
"2776","Fbxo5",NA
"2777","Inpp5j",NA
"2778","Trim12a",NA
"2779","Espl1",NA
"2780","Zfp758",NA
"2781","Stag3",NA
"2782","Gm25777",NA
"2783","Snora62",NA
"2784","H3c11",NA
"2785","Isg15",NA
"2786","Slco2b1",NA
"2787","Slc35a5",NA
"2788","Aurka",NA
"2789","Dcaf11",NA
"2790","Thoc2",NA
"2791","Gm10171",NA
"2792","Tmem63a",NA
"2793","Dqx1",NA
"2794","Virma",NA
"2795","Cd300ld3",NA
"2796","A930001A20Rik",NA
"2797","Ifitm3",NA
"2798","Ptprj",NA
"2799","Tmem167b",NA
"2800","Gm22488",NA
"2801","Ccnb1",NA
"2802","Scfd1",NA
"2803","Csf3r",NA
"2804","H4c3",NA
"2805","Snora31",NA
"2806","Rsbn1l",NA
"2807","Cog4",NA
"2808","Cdk13",NA
"2809","Gm26244",NA
"2810","Gm27022",NA
"2811","Gm22154",NA
"2812","Slc6a12",NA
"2813","4833417C18Rik",NA
"2814","Add3",NA
"2815","Fcho1",NA
"2816","Nupr1",NA
"2817","P2ry13",NA
"2818","Pik3ap1",NA
"2819","Mapk8ip2",NA
"2820","Zdhhc24",NA
"2821","Klhl28",NA
"2822","Ifitm6",NA
"2823","Gm16580",NA
"2824","Srpx",NA
"2825","mt-Nd3",NA
"2826","Ogfr",NA
"2827","Trafd1",NA
"2828","Yipf3",NA
"2829","Psmb7-ps2",NA
"2830","Comt",NA
"2831","Rfk",NA
"2832","Gm2541",NA
"2833","Limd1",NA
"2834","Snrnp27",NA
"2835","Sfpq",NA
"2836","Gm13179",NA
"2837","Slc15a3",NA
"2838","Unkl",NA
"2839","Dlst",NA
"2840","Klf13",NA
"2841","Tmem127",NA
"2842","Gm24644",NA
"2843","Gm23925",NA
"2844","Numb",NA
"2845","Trpc4ap",NA
"2846","Rhbdf2",NA
"2847","Arl4aos",NA
"2848","Ubald1",NA
"2849","Myl6",NA
"2850","Gm16675",NA
"2851","Zfp644",NA
"2852","Plk1",NA
"2853","Rnf44",NA
"2854","Jag1",NA
"2855","Ighv1-18",NA
"2856","Gpn3",NA
"2857","Ccn4",NA
"2858","Morf4l1",NA
"2859","Gm37335",NA
"2860","Cic",NA
"2861","Ppme1",NA
"2862","Zfyve28",NA
"2863","Plp2",NA
"2864","Xiap",NA
"2865","Triobp",NA
"2866","Cdc14a",NA
"2867","Snrnp25",NA
"2868","Acer3",NA
"2869","Gm24233",NA
"2870","Sgpp1",NA
"2871","Lsm14a",NA
"2872","Rara",NA
"2873","Cep70",NA
"2874","Ogfrl1",NA
"2875","Stfa2l1",NA
"2876","4732465J04Rik",NA
"2877","Tmem208",NA
"2878","Kansl1",NA
"2879","Cep89",NA
"2880","3830408C21Rik",NA
"2881","Zfp87",NA
"2882","Arhgap9",NA
"2883","Usf2",NA
"2884","Gm15739",NA
"2885","Tmem106b",NA
"2886","Ccnk",NA
"2887","Wdr70",NA
"2888","H2aj",NA
"2889","Snord21",NA
"2890","Gm38235",NA
"2891","Snora68",NA
"2892","Wdr37",NA
"2893","Tesk2",NA
"2894","Gm22884",NA
"2895","Fmr1",NA
"2896","Chmp1a",NA
"2897","Cdc42bpa",NA
"2898","Tusc1",NA
"2899","Nxf1",NA
"2900","Snord83b",NA
"2901","Gba2",NA
"2902","Polg2",NA
"2903","Zbtb45",NA
"2904","Ftl1-ps1",NA
"2905","Tmem80",NA
"2906","Gbp8",NA
"2907","Cd209a",NA
"2908","D130043K22Rik",NA
"2909","Tnfsfm13",NA
"2910","Rfxank",NA
"2911","Mcm3ap",NA
"2912","Afap1",NA
"2913","Gpi1",NA
"2914","9930111J21Rik2",NA
"2915","Pgrmc2",NA
"2916","Pou2af1",NA
"2917","Ascc2",NA
"2918","Tpp1",NA
"2919","Tango2",NA
"2920","Prr14",NA
"2921","Acta1",NA
"2922","Rps2-ps9",NA
"2923","Prkcd",NA
"2924","Nrp1",NA
"2925","Tmem26",NA
"2926","D430013B06Rik",NA
"2927","Atp2c1",NA
"2928","Trim15",NA
"2929","Gm37914",NA
"2930","Cemip2",NA
"2931","Nanos1",NA
"2932","Eri1",NA
"2933","Ap3d1",NA
"2934","Dna2",NA
"2935","C1galt1",NA
"2936","Gm22767",NA
"2937","Paqr3",NA
"2938","Gm37724",NA
"2939","Upf2",NA
"2940","Spp1",NA
"2941","Mesd",NA
"2942","Gm11261",NA
"2943","Phc3",NA
"2944","Gm37850",NA
"2945","Prr5l",NA
"2946","Syngr1",NA
"2947","Snora26",NA
"2948","Lef1",NA
"2949","Dusp11",NA
"2950","Evl",NA
"2951","Efnb3",NA
"2952","Daam2",NA
"2953","Pira2",NA
"2954","Txndc9",NA
"2955","C1qc",NA
"2956","Fkbp15",NA
"2957","Nme3",NA
"2958","Slc28a2",NA
"2959","Pde4d",NA
"2960","Slc37a2",NA
"2961","Cyrib",NA
"2962","Polg",NA
"2963","Gm15850",NA
"2964","Nap1l4",NA
"2965","mt-Rnr1",NA
"2966","Plekhd1",NA
"2967","Rgp1",NA
"2968","AF357399",NA
"2969","Prss57",NA
"2970","Acod1",NA
"2971","Pask",NA
"2972","Tnpo1",NA
"2973","Slc16a3",NA
"2974","Gm19552",NA
"2975","Rint1",NA
"2976","Hr",NA
"2977","Cds2",NA
"2978","Phkg2",NA
"2979","Paip2",NA
"2980","Tmem9b",NA
"2981","Hnrnpll",NA
"2982","Ccdc97",NA
"2983","Ist1",NA
"2984","Stk10",NA
"2985","Gcdh",NA
"2986","Gm16132",NA
"2987","Gm29560",NA
"2988","Naa80",NA
"2989","Gm15937",NA
"2990","Nscme3l",NA
"2991","Kmt5c",NA
"2992","Gm13881",NA
"2993","Haspin",NA
"2994","Slc37a3",NA
"2995","Kif5c",NA
"2996","Gm20045",NA
"2997","Ptprc",NA
"2998","Zbtb5",NA
"2999","Ttn",NA
"3000","Pet100",NA
"3001","Gm20390",NA
"3002","Tubgcp3",NA
"3003","Cdkn2d",NA
"3004","Apbb1",NA
"3005","Tigd3",NA
"3006","Npc2",NA
"3007","1700047M11Rik",NA
"3008","C1rl",NA
"3009","2700097O09Rik",NA
"3010","Chac1",NA
"3011","Zc3h15",NA
"3012","Gm10182",NA
"3013","Gm8522",NA
"3014","Snora9",NA
"3015","Trib3",NA
"3016","Fam193a",NA
"3017","Fam110c",NA
"3018","Zer1",NA
"3019","Atrn",NA
"3020","Sec14l2",NA
"3021","Ubald2",NA
"3022","2810407A14Rik",NA
"3023","Lepr",NA
"3024","Ern1",NA
"3025","Tesc",NA
"3026","Il10ra",NA
"3027","Htt",NA
"3028","Mbnl2",NA
"3029","Cacna1g",NA
"3030","Gm27222",NA
"3031","Gna13",NA
"3032","Ppp1r12b",NA
"3033","Gm7099",NA
"3034","Agpat2",NA
"3035","Adgrv1",NA
"3036","Mkx",NA
"3037","Ubr1",NA
"3038","Pigo",NA
"3039","C1galt1c1",NA
"3040","Gm12840",NA
"3041","Top2a",NA
"3042","Apol7c",NA
"3043","Snord47",NA
"3044","Filip1l",NA
"3045","Eapp",NA
"3046","Afg3l2",NA
"3047","Ugt1a9",NA
"3048","Cfb",NA
"3049","Kif21b",NA
"3050","Asxl2",NA
"3051","Fis1",NA
"3052","Lmbr1l",NA
"3053","Gm37110",NA
"3054","Slc26a2",NA
"3055","Pced1b",NA
"3056","Pik3r5",NA
"3057","Gm15518",NA
"3058","M1ap",NA
"3059","Rnf103",NA
"3060","Gimap4",NA
"3061","Atp6v0e",NA
"3062","Fap",NA
"3063","Gm12430",NA
"3064","Igkv6-23",NA
"3065","Tmem62",NA
"3066","Nmbr",NA
"3067","Kctd6",NA
"3068","Eaf2",NA
"3069","Adamts2",NA
"3070","H2bc13",NA
"3071","Gigyf1",NA
"3072","Fbxo48",NA
"3073","Nabp1",NA
"3074","Clgn",NA
"3075","Ighv1-82",NA
"3076","Ncaph",NA
"3077","Ezh2",NA
"3078","Rhbdf1",NA
"3079","Cyb5d1",NA
"3080","Trim21",NA
"3081","Rhog",NA
"3082","Tmub2",NA
"3083","Wrap53",NA
"3084","Stk24",NA
"3085","Nudt9",NA
"3086","Ighv9-1",NA
"3087","Kcnj16",NA
"3088","Tmod4",NA
"3089","Asb17os",NA
"3090","Dnah6",NA
"3091","B3gat2",NA
"3092","Abca3",NA
"3093","4930481A15Rik",NA
"3094","Igfbp5",NA
"3095","Stxbp2",NA
"3096","Rgs12",NA
"3097","Arg2",NA
"3098","Gm2061",NA
"3099","Abi3",NA
"3100","Gm11511",NA
"3101","Col7a1",NA
"3102","Dguok",NA
"3103","C130050O18Rik",NA
"3104","Nelfcd",NA
"3105","Cited4",NA
"3106","Itgb1bp2",NA
"3107","Lamp2",NA
"3108","Lrrc8a",NA
"3109","Myl12b",NA
"3110","Rac2",NA
"3111","Coro1a",NA
"3112","Rraga",NA
"3113","Hnrnpa1l2-ps",NA
"3114","Arid2",NA
"3115","Ppp6r3",NA
"3116","Ifnlr1",NA
"3117","Ptgir",NA
"3118","Mirt1",NA
"3119","Ngly1",NA
"3120","9230114K14Rik",NA
"3121","Gm9696",NA
"3122","4933407I08Rik",NA
"3123","Pot1b",NA
"3124","Pdzd8",NA
"3125","Gm38194",NA
"3126","Gvin-ps2",NA
"3127","Zfp800",NA
"3128","Hba-x",NA
"3129","Gm14327",NA
"3130","H2ac8",NA
"3131","Gpx3",NA
"3132","Aif1",NA
"3133","Gm2042",NA
"3134","Pde8a",NA
"3135","Ppp6c",NA
"3136","Pigz",NA
"3137","Rnf214",NA
"3138","Tmem29",NA
"3139","Tom1",NA
"3140","Kpna4",NA
"3141","Scarna8",NA
"3142","Wdfy3",NA
"3143","Tppp",NA
"3144","Ighv1-80",NA
"3145","Rnf26",NA
"3146","Gm7785",NA
"3147","Depdc1a",NA
"3148","Fam131a",NA
"3149","Igkv6-15",NA
"3150","Gm22711",NA
"3151","Klhl30",NA
"3152","Reep3",NA
"3153","Snap23",NA
"3154","Taok2",NA
"3155","Efcab5",NA
"3156","Col1a1",NA
"3157","Aip",NA
"3158","Ttc33",NA
"3159","Gm15931",NA
"3160","Anp32e",NA
"3161","Snx11",NA
"3162","Tmem45a2",NA
"3163","Polr2a",NA
"3164","Stx12",NA
"3165","Lrrfip2",NA
"3166","Marchf7",NA
"3167","1700001L05Rik",NA
"3168","Sh3bp5",NA
"3169","Ighv6-3",NA
"3170","Hmgcr",NA
"3171","Tcerg1l",NA
"3172","Slamf9",NA
"3173","Rprd2",NA
"3174","Dhrs9",NA
"3175","Gm21982",NA
"3176","Hopx",NA
"3177","Ddit3",NA
"3178","Pld1",NA
"3179","Gm38248",NA
"3180","Atp11a",NA
"3181","Sec24c",NA
"3182","Snord13",NA
"3183","Chst12",NA
"3184","Tbc1d9",NA
"3185","Dctn1",NA
"3186","Gm37738",NA
"3187","Mme",NA
"3188","Tnfrsf1b",NA
"3189","Pcnt",NA
"3190","Baat",NA
"3191","Pde1b",NA
"3192","Rad51ap1",NA
"3193","Rgs14",NA
"3194","Ubl3",NA
"3195","Rbms1",NA
