,Gene,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
9887,ENSMUSG00000041528,Rnf123,11467.23921,4.912195629,1.45585715,3.374091769,0.000740597,0.033648352
6774,ENSMUSG00000031428,Zcchc18,37.83728165,-6.745700863,2.000150102,-3.372597314,0.000744628,0.0337443
5550,ENSMUSG00000028637,Ccdc30,33.6434318,-7.892040265,2.340681706,-3.371684516,0.0007471,0.033769293
11615,ENSMUSG00000051627,H1f4,14461.97661,3.43479046,1.019244152,3.369938845,0.000751849,0.033896808
17876,ENSMUSG00000102930,Gm38115,1669.587083,5.412778936,1.608524956,3.365057481,0.000765277,0.034344543
9450,ENSMUSG00000039908,Slc26a11,125.3988057,-4.863573201,1.445379864,-3.36491003,0.000765686,0.034344543
3181,ENSMUSG00000022747,St3gal6,1802.517209,4.593763893,1.36594124,3.363075775,0.000770792,0.034485589
8275,ENSMUSG00000036002,Fam214b,5066.989611,6.439895597,1.91924982,3.355423317,0.000792436,0.03534405
3116,ENSMUSG00000022594,Lynx1,33.88595175,-7.901786039,2.355312473,-3.354878017,0.000794,0.03534405
1168,ENSMUSG00000012889,Podnl1,34.63252273,-7.934488154,2.366649039,-3.3526256,0.000800489,0.035455551
16409,ENSMUSG00000091563,Gm8108,34.80181492,-7.940006622,2.368306914,-3.35260881,0.000800538,0.035455551
10994,ENSMUSG00000047648,Fbxo30,26842.02817,5.082972967,1.517612126,3.349322847,0.000810093,0.035788624
3770,ENSMUSG00000024621,Csf1r,1247.775367,2.842723451,0.849419346,3.346666712,0.000817895,0.036042719
13488,ENSMUSG00000068079,Tcf15,35.48466369,-7.969730448,2.383321118,-3.343959985,0.000825916,0.036305224
11449,ENSMUSG00000050600,Zfp831,1025.293793,-1.970593685,0.590102723,-3.339407885,0.000839572,0.036813448
14715,ENSMUSG00000079362,Gm43302,367.3626829,-2.764906742,0.829008375,-3.335197598,0.000852388,0.037282436
3505,ENSMUSG00000024053,Emilin2,3793.930294,3.491174502,1.047642823,3.332409123,0.000860976,0.037564611
12906,ENSMUSG00000062093,Gm10110,639.4872505,2.808185809,0.843153106,3.330576368,0.000866664,0.037634586
11209,ENSMUSG00000049001,Ndnf,34.96872489,-7.946788892,2.386055346,-3.330513227,0.00086686,0.037634586
2721,ENSMUSG00000021759,Plpp1,790.1507806,5.924816678,1.779783412,3.328953758,0.000871729,0.037677968
1141,ENSMUSG00000011831,Evi5,23251.29262,5.303276892,1.59313986,3.328820667,0.000872145,0.037677968
5592,ENSMUSG00000028701,Lurap1,98.84661021,-4.882403288,1.467726596,-3.326507335,0.000879417,0.037898995
13162,ENSMUSG00000064147,Rab44,2300.181442,2.14452848,0.645183888,3.323902718,0.000887672,0.038161195
17598,ENSMUSG00000101450,Gm28941,353.629493,5.630847322,1.696135053,3.319810714,0.000900785,0.038525001
11424,ENSMUSG00000050390,C77080,99.51234898,-4.893172186,1.473994175,-3.319668605,0.000901244,0.038525001
14057,ENSMUSG00000073490,Ifi207,256.3160643,4.713279418,1.420079337,3.31902542,0.000903322,0.038525001
2572,ENSMUSG00000021423,Ly86,613.607485,3.158560537,0.952187074,3.317163847,0.000909363,0.038525001
9819,ENSMUSG00000041231,Ublcp1,2700.831285,4.560464623,1.37491264,3.316912282,0.000910182,0.038525001
12744,ENSMUSG00000060647,Gm7099,60.65938675,6.234675333,1.879926693,3.316445985,0.000911702,0.038525001
1367,ENSMUSG00000015766,Eps8,585.0008721,-2.150270277,0.648421812,-3.316159693,0.000912637,0.038525001
11991,ENSMUSG00000054453,Sytl5,33.83791954,-7.901022742,2.383200158,-3.315299688,0.000915449,0.038525001
1481,ENSMUSG00000017314,Mpp2,537.7937693,5.623855312,1.696637856,3.314705782,0.000917396,0.038525001
6281,ENSMUSG00000030246,Ldhb,489.6975655,-2.128875416,0.642289957,-3.314508333,0.000918044,0.038525001
14639,ENSMUSG00000078922,Tgtp1,2022.331032,-4.151239323,1.252963332,-3.313137118,0.000922557,0.038622206
17747,ENSMUSG00000102460,Gm38197,77.50932101,-5.195127948,1.568474145,-3.312217778,0.000925595,0.038657317
3350,ENSMUSG00000023087,Noct,2216.710738,4.416282879,1.334143939,3.310199708,0.000932294,0.038844858
8087,ENSMUSG00000035206,Sppl2b,4212.886562,4.139510773,1.251113055,3.308662441,0.000937428,0.038966416
16039,ENSMUSG00000087528,9830144P21Rik,149.3409576,9.594193796,2.9013942,3.306752938,0.000943841,0.039140462
542,ENSMUSG00000003813,Rad23a,6738.100546,4.567879583,1.383078613,3.302689767,0.000957623,0.03961854
15772,ENSMUSG00000086247,Gm15787,346.5748857,5.501619593,1.666618616,3.301066926,0.000963179,0.039754876
13193,ENSMUSG00000064351,mt-Co1,3107022.611,4.577601099,1.387129572,3.300052995,0.000966666,0.039805348
3504,ENSMUSG00000024052,Lpin2,41635.13021,4.64083627,1.406753286,3.298969561,0.000970404,0.039865933
4959,ENSMUSG00000027330,Cdc25b,6841.940943,4.742207797,1.438277943,3.297142823,0.000976738,0.040032605
9804,ENSMUSG00000041161,Otud3,113.80378,-3.204890016,0.972462781,-3.295642854,0.000981968,0.040153342
3245,ENSMUSG00000022849,Hspbap1,1516.25693,5.406779429,1.641143701,3.294519198,0.000985902,0.040220688
4850,ENSMUSG00000027078,Ube2l6,12522.96253,5.180038435,1.573119897,3.292844012,0.000991795,0.040367427
4549,ENSMUSG00000026455,Klhl12,11627.15009,4.54665382,1.381135652,3.291967603,0.000994891,0.040399916
10386,ENSMUSG00000044017,Adgrd1,115.9530377,-3.289521904,1.001114816,-3.285858776,0.00101672,0.041191204
10041,ENSMUSG00000042156,Dzip1,154.194728,-4.814198168,1.466682697,-3.282371967,0.001029377,0.041576179
4601,ENSMUSG00000026571,Dcaf6,13389.90933,4.892863741,1.490844443,3.28194116,0.001030951,0.041576179
4340,ENSMUSG00000025993,Slc40a1,3363.484684,3.97598072,1.212471347,3.27923685,0.001040882,0.041880628
18178,ENSMUSG00000103953,Gm29718,45.31976354,9.567987805,2.918345967,3.278565295,0.001043362,0.041884562
4266,ENSMUSG00000025810,Nrp1,503.9892207,2.579878852,0.787218498,3.277208117,0.001048391,0.041990552
17685,ENSMUSG00000102222,Pcdhga10,39.94320068,-8.138356703,2.484366339,-3.275827955,0.001053527,0.04202021
